Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,117549,-,-,-,37.33,-121.9,-8,24,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2016,1,1,0,0,0,0,0,0,0,0,1,0,165.51,0,0.12,1,0.742,72,88.77,3,1020,0.0000,0.0000,N/A
2016,1,1,0,30,0,0,0,0,0,0,0,0,165.12,0,0.12,1,0.751,72,88.77,2,1020,0.0000,0.0000,N/A
2016,1,1,1,0,0,0,0,0,0,0,1,0,162.22,0,0.12,1,0.76,73.10000000000001,88.62,2,1020,0.0000,0.0000,N/A
2016,1,1,1,30,0,0,0,0,0,0,1,0,157.79,0,0.12,1,0.766,73.10000000000001,95.25,2,1020,0.0000,0.0000,N/A
2016,1,1,2,0,0,0,0,0,0,0,1,0,152.57,0,0.12,1,0.773,65.4,94.7,2,1020,0.0000,0.0000,N/A
2016,1,1,2,30,0,0,0,0,0,0,1,0,146.96,0,0.12,1,0.773,65.4,94.69,1,1020,0.0000,0.0000,N/A
2016,1,1,3,0,0,0,0,0,0,0,1,0,141.14000000000001,0,0.12,1,0.773,53.6,93.61,1,1020,0.0000,0.0000,N/A
2016,1,1,3,30,0,0,0,0,0,0,1,0,135.21,0,0.12,1,0.77,53.6,93.59,1,1020,0.0000,0.0000,N/A
2016,1,1,4,0,0,0,0,0,0,0,1,-1,129.26,0,0.12,1,0.767,42.5,91.71000000000001,1,1020,0.0000,0.0000,N/A
2016,1,1,4,30,0,0,0,0,0,0,1,-1,123.3,0,0.12,1,0.761,42.5,91.71000000000001,0,1020,0.0000,0.0000,N/A
2016,1,1,5,0,0,0,0,0,0,0,1,-1,117.39,0,0.12,1,0.756,36.2,95.91,0,1020,0.0000,0.0000,N/A
2016,1,1,5,30,0,0,0,0,0,0,1,-1,111.54,0,0.12,1,0.748,36.2,95.92,0,1020,0.0000,0.0000,N/A
2016,1,1,6,0,0,0,0,0,0,0,1,-1,105.78,0,0.12,1,0.74,34.5,92.96000000000001,0,1020,0.0000,0.0000,N/A
2016,1,1,6,30,0,0,0,0,0,0,1,-1,100.15,0,0.12,0.9,0.734,34.5,92.98,0,1020,0.0000,0.0000,N/A
2016,1,1,7,0,0,0,0,0,0,0,4,-2,94.68,0,0.12,0.9,0.729,34.300000000000004,91.77,0,1020,0.0000,0.0000,N/A
2016,1,1,7,30,0,0,0,0,0,0,1,-2,89.4,0,0.12,1.2000000000000002,0.728,34.300000000000004,85.35000000000001,1,1020,0.0000,0.0000,N/A
