Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,117549,-,-,-,37.33,-121.9,-8,24,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2018,1,1,0,0,0,0,0,0,0,0,4,9.8,165.47,0,0.11,0.7000000000000001,1.7000000000000002,294,96.33,10.4,1024,0.0000,0.0000,N/A
2018,1,1,0,30,0,0,0,0,0,0,4,9.8,165.11,0,0.11,0.7000000000000001,1.7000000000000002,307,96.33,10.4,1024,0.0000,0.0000,N/A
2018,1,1,1,0,0,0,0,0,0,0,4,9.700000000000001,162.23,0,0.11,0.7000000000000001,1.8,321,96.33,10.3,1024,0.0000,0.0000,N/A
2018,1,1,1,30,0,0,0,0,0,0,0,9.700000000000001,157.82,0,0.11,0.7000000000000001,1.8,332,96.98,10.200000000000001,1024,0.0000,0.0000,N/A
2018,1,1,2,0,0,0,0,0,0,0,0,9.600000000000001,152.61,0,0.11,0.7000000000000001,1.8,344,96.46000000000001,10.100000000000001,1025,0.0000,0.0000,N/A
2018,1,1,2,30,0,0,0,0,0,0,0,9.5,146.99,0,0.11,0.7000000000000001,1.8,352,97.66,9.9,1024,0.0000,0.0000,N/A
2018,1,1,3,0,0,0,0,0,0,0,0,9.3,141.18,0,0.11,0.7000000000000001,1.8,360,96.67,9.8,1024,0.0000,0.0000,N/A
2018,1,1,3,30,0,0,0,0,0,0,0,9.3,135.26,0,0.11,0.7000000000000001,1.8,356,97.31,9.700000000000001,1024,0.0000,0.0000,N/A
2018,1,1,4,0,0,0,0,0,0,0,0,9,129.3,0,0.11,0.8,1.8,352,96.93,9.5,1024,0.0000,0.0000,N/A
2018,1,1,4,30,0,0,0,0,0,0,0,9.1,123.34,0,0.11,0.8,1.8,344,97.68,9.4,1025,0.0000,0.0000,N/A
2018,1,1,5,0,0,0,0,0,0,0,0,8.8,117.42,0,0.11,0.8,1.8,335,96.84,9.3,1025,0.0000,0.0000,N/A
2018,1,1,5,30,0,0,0,0,0,0,0,8.8,111.57000000000001,0,0.11,0.7000000000000001,1.8,329,96.84,9.3,1025,0.0000,0.0000,N/A
2018,1,1,6,0,0,0,0,0,0,0,0,8.6,105.82000000000001,0,0.11,0.7000000000000001,1.8,322,96.05,9.200000000000001,1025,0.0000,0.0000,N/A
