Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,117549,-,-,-,37.33,-121.9,-8,24,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2017,1,1,0,0,0,0,0,0,0,0,1,4,165.44,0,0.11800000000000001,1.9000000000000001,1.41,252.10000000000002,100,7,1010,0.0000,0.0000,N/A
2017,1,1,0,30,0,0,0,0,0,0,1,4,165.08,0,0.11800000000000001,1.8,1.35,252.10000000000002,100,6,1010,0.0000,0.0000,N/A
2017,1,1,1,0,0,0,0,0,0,0,1,4,162.21,0,0.11800000000000001,1.7000000000000002,1.291,249.60000000000002,100,6,1010,0.0000,0.0000,N/A
2017,1,1,1,30,0,0,0,0,0,0,1,4,157.8,0,0.11800000000000001,1.6,1.245,249.60000000000002,100,6,1010,0.0000,0.0000,N/A
2017,1,1,2,0,0,0,0,0,0,0,3,4,152.6,0,0.11800000000000001,1.6,1.199,247.70000000000002,100,6,1010,0.0000,0.0000,N/A
2017,1,1,2,30,0,0,0,0,0,0,4,4,146.99,0,0.11800000000000001,1.6,1.167,247.70000000000002,100,6,1010,0.0000,0.0000,N/A
2017,1,1,3,0,0,0,0,0,0,0,4,4,141.17000000000002,0,0.11800000000000001,1.7000000000000002,1.1360000000000001,251.4,100,6,1010,0.0000,0.0000,N/A
2017,1,1,3,30,0,0,0,0,0,0,4,4,135.25,0,0.11800000000000001,1.7000000000000002,1.104,251.4,100,5,1010,0.0000,0.0000,N/A
2017,1,1,4,0,0,0,0,0,0,0,4,4,129.29,0,0.11800000000000001,1.7000000000000002,1.072,252.5,100,5,1010,0.0000,0.0000,N/A
2017,1,1,4,30,0,0,0,0,0,0,3,2,123.34,0,0.11800000000000001,1.6,1.049,252.5,100,5,1010,0.0000,0.0000,N/A
2017,1,1,5,0,0,0,0,0,0,0,3,2,117.42,0,0.11800000000000001,1.6,1.027,251.60000000000002,100,5,1010,0.0000,0.0000,N/A
2017,1,1,5,30,0,0,0,0,0,0,3,2,111.57000000000001,0,0.11800000000000001,1.6,1.012,251.60000000000002,100,5,1010,0.0000,0.0000,N/A
2017,1,1,6,0,0,0,0,0,0,0,3,2,105.82000000000001,0,0.11800000000000001,1.6,0.999,252.20000000000002,100,5,1010,0.0000,0.0000,N/A
2017,1,1,6,30,0,0,0,0,0,0,4,2,100.18,0,0.11800000000000001,1.6,0.986,252.20000000000002,100,5,1010,0.0000,0.0000,N/A
2017,1,1,7,0,0,0,0,0,0,0,4,4,94.71000000000001,0,0.11800000000000001,1.6,0.973,255.60000000000002,100,6,1010,0.0000,0.0000,N/A
2017,1,1,7,30,0,0,0,0,0,0,4,4,89.42,0,0.11800000000000001,1.9000000000000001,0.967,255.60000000000002,100,7,1010,0.0000,0.0000,N/A
2017,1,1,8,0,31,0,31,38,267,64,4,6,84.38,4,0.11800000000000001,2.2,0.962,251.20000000000002,100,8,1010,0.0000,0.0000,N/A
2017,1,1,8,30,66,17,69,59,459,142,4,6,79.62,4,0.11800000000000001,2.6,0.9490000000000001,251.20000000000002,94.39,8,1010,3.2888,2.5073,N/A
2017,1,1,9,0,99,33,108,74,576,221,4,6,75.22,4,0.11800000000000001,3.1,0.936,256.90000000000003,90.91,9,1010,5.2712,4.0493,N/A
2017,1,1,9,30,130,44,145,84,660,297,4,6,71.23,4,0.11800000000000001,3.4000000000000004,0.897,256.90000000000003,90.92,9,1010,7.3406,5.6753,N/A
2017,1,1,10,0,156,59,178,89,730,366,4,6,67.73,0,0.11800000000000001,3.7,0.858,264.1,89.15,10,1010,9.2929,7.2151,N/A
2017,1,1,10,30,176,270,291,94,771,423,2,6,64.81,0,0.11800000000000001,3.9000000000000004,0.8190000000000001,264.1,89.13,10,1010,15.5433,12.1003,N/A
2017,1,1,11,0,194,58,221,98,800,467,3,5,62.56,0,0.11800000000000001,4.1000000000000005,0.781,265.1,79.43,11,1010,11.9910,9.3506,N/A
2017,1,1,11,30,149,0,149,100,817,496,2,5,61.04,0,0.11800000000000001,4.1000000000000005,0.754,265.1,79.41,11,1010,8.1633,6.3720,N/A
2017,1,1,12,0,154,0,154,96,841,513,2,4,60.32,4,0.11800000000000001,4.3,0.728,269.7,74.32000000000001,11,1010,8.4742,6.6174,N/A
2017,1,1,12,30,96,840,511,96,840,511,1,4,60.410000000000004,0,0.11800000000000001,4.1000000000000005,0.723,269.7,74.3,11,1010,28.1037,21.9448,N/A
2017,1,1,13,0,96,829,493,96,829,493,2,3,61.33,4,0.11800000000000001,4.1000000000000005,0.719,273.2,70.66,11,1010,26.9617,21.0415,N/A
2017,1,1,13,30,93,810,461,93,810,461,1,3,63.02,0,0.11800000000000001,4,0.74,273.2,70.65,11,1010,24.9361,19.4390,N/A
2017,1,1,14,0,86,792,416,86,792,416,2,3,65.44,4,0.11800000000000001,3.9000000000000004,0.761,275.2,68.56,11,1010,22.1160,17.2081,N/A
2017,1,1,14,30,81,750,356,81,750,356,2,3,68.5,4,0.11800000000000001,3.7,0.784,275.2,73.35000000000001,10,1010,18.4658,14.3251,N/A
2017,1,1,15,0,72,701,287,72,701,287,1,3,72.11,0,0.11800000000000001,3.5,0.808,275.1,73.81,10,1010,14.4113,11.1278,N/A
2017,1,1,15,30,62,614,209,62,614,209,2,3,76.21000000000001,4,0.11800000000000001,2.7,0.8210000000000001,275.1,79.02,9,1010,10.1181,7.7586,N/A
2017,1,1,16,0,48,495,128,48,495,128,1,4,80.7,0,0.11800000000000001,2,0.835,270.5,87.72,8,1010,0.0000,0.0000,N/A
2017,1,1,16,30,29,279,51,29,279,51,1,4,85.53,0,0.11800000000000001,1.7000000000000002,0.844,270.5,94.02,7,1010,0.0000,0.0000,N/A
2017,1,1,17,0,0,0,0,0,0,0,1,3,90.63,0,0.11800000000000001,1.4000000000000001,0.853,261.7,99.17,6,1010,0.0000,0.0000,N/A
2017,1,1,17,30,0,0,0,0,0,0,1,3,95.97,0,0.11800000000000001,1.4000000000000001,0.864,261.7,99.18,5,1010,0.0000,0.0000,N/A
2017,1,1,18,0,0,0,0,0,0,0,1,3,101.48,0,0.11800000000000001,1.4000000000000001,0.875,257.2,99.22,5,1010,0.0000,0.0000,N/A
2017,1,1,18,30,0,0,0,0,0,0,1,2,107.15,0,0.11800000000000001,1.3,0.895,257.2,100,5,1010,0.0000,0.0000,N/A
2017,1,1,19,0,0,0,0,0,0,0,1,2,112.93,0,0.11800000000000001,1.3,0.915,256.40000000000003,100,5,1010,0.0000,0.0000,N/A
2017,1,1,19,30,0,0,0,0,0,0,1,2,118.8,0,0.11800000000000001,1.3,0.9380000000000001,256.40000000000003,100,5,1010,0.0000,0.0000,N/A
2017,1,1,20,0,0,0,0,0,0,0,4,2,124.72,0,0.11800000000000001,1.3,0.961,256.90000000000003,100,5,1010,0.0000,0.0000,N/A
2017,1,1,20,30,0,0,0,0,0,0,4,2,130.68,0,0.11800000000000001,1.2000000000000002,0.981,256.90000000000003,100,4,1010,0.0000,0.0000,N/A
2017,1,1,21,0,0,0,0,0,0,0,4,2,136.63,0,0.11800000000000001,1.2000000000000002,1.002,255.9,100,4,1010,0.0000,0.0000,N/A
2017,1,1,21,30,0,0,0,0,0,0,4,2,142.53,0,0.11800000000000001,1.2000000000000002,1.016,255.9,100,4,1010,0.0000,0.0000,N/A
